VSync enabled
160 KTime diff: 19998, Avg = 19998
161 Time diff: 20011, Avg = 19997
161 KTime diff: 19998, Avg = 19998
162 Time diff: 19990, Avg = 19997
162 KTime diff: 19998, Avg = 19998
163 Time diff: 20005, Avg = 19997
163 KTime diff: 19998, Avg = 19998
164 Time diff: 20002, Avg = 19997
164 KTime diff: 19998, Avg = 19998
165 Time diff: 19989, Avg = 19997
165 KTime diff: 19999, Avg = 19998
166 Time diff: 20010, Avg = 19997
166 KTime diff: 19997, Avg = 19998
167 Time diff: 19985, Avg = 19997
167 KTime diff: 19999, Avg = 19998
168 Time diff: 20009, Avg = 19997
168 KTime diff: 19997, Avg = 19998
169 Time diff: 19987, Avg = 19997
169 KTime diff: 19999, Avg = 19998
170 Time diff: 20007, Avg = 19997
170 KTime diff: 19998, Avg = 19998
171 Time diff: 19988, Avg = 19997
171 KTime diff: 19998, Avg = 19998
172 Time diff: 20005, Avg = 19997
172 KTime diff: 19997, Avg = 19998
173 Time diff: 20002, Avg = 19997
173 KTime diff: 19998, Avg = 19998
174 Time diff: 19996, Avg = 19997
174 KTime diff: 19997, Avg = 19998
175 Time diff: 20014, Avg = 19997
175 KTime diff: 19998, Avg = 19998
176 Time diff: 20018, Avg = 19997
176 KTime diff: 20001, Avg = 19998
177 Time diff: 19963, Avg = 19997
177 KTime diff: 19997, Avg = 19998
178 Time diff: 20001, Avg = 19997
178 KTime diff: 19997, Avg = 19998
179 Time diff: 19998, Avg = 19997
179 KTime diff: 20003, Avg = 19998
180 Time diff: 20002, Avg = 19997
180 KTime diff: 19994, Avg = 19998
181 Time diff: 20003, Avg = 19997
181 KTime diff: 19997, Avg = 19998
182 Time diff: 19994, Avg = 19997
182 KTime diff: 19999, Avg = 19998
183 Time diff: 20003, Avg = 19997
183 KTime diff: 19996, Avg = 19998
184 Time diff: 19979, Avg = 19997
184 KTime diff: 19998, Avg = 19998
185 Time diff: 20008, Avg = 19997
185 KTime diff: 19997, Avg = 19998
186 Time diff: 19989, Avg = 19997
186 KTime diff: 19999, Avg = 19998
187 Time diff: 20007, Avg = 19997
187 KTime diff: 19998, Avg = 19998
188 Time diff: 19991, Avg = 19997
188 KTime diff: 19998, Avg = 19998
189 Time diff: 20004, Avg = 19997
189 KTime diff: 19998, Avg = 19998
190 Time diff: 19984, Avg = 19997
190 KTime diff: 19999, Avg = 19998
191 Time diff: 20015, Avg = 19997
191 KTime diff: 19999, Avg = 19998
192 Time diff: 19991, Avg = 19997
192 KTime diff: 19998, Avg = 19998
193 Time diff: 20000, Avg = 19997
193 KTime diff: 19998, Avg = 19998
194 Time diff: 19994, Avg = 19997
194 KTime diff: 19997, Avg = 19998
195 Time diff: 20006, Avg = 19997
195 KTime diff: 19999, Avg = 19998
196 Time diff: 19987, Avg = 19997
196 KTime diff: 19997, Avg = 19998
197 Time diff: 20010, Avg = 19997
197 KTime diff: 19998, Avg = 19998
198 Time diff: 19987, Avg = 19997
198 KTime diff: 19998, Avg = 19998
199 Time diff: 20011, Avg = 19997
199 KTime diff: 19998, Avg = 19998
200 Time diff: 20041, Avg = 19997
200 KTime diff: 19998, Avg = 19998
201 Time diff: 19962, Avg = 19997
201 KTime diff: 19999, Avg = 19998
