VSync enabled
209 Time diff: 20017, Avg = 19963
210 Time diff: 19981, Avg = 19963
211 Time diff: 20017, Avg = 19963
212 Time diff: 19982, Avg = 19963
213 Time diff: 20017, Avg = 19963
214 Time diff: 19982, Avg = 19964
215 Time diff: 20017, Avg = 19964
216 Time diff: 19983, Avg = 19964
217 Time diff: 20016, Avg = 19964
218 Time diff: 19990, Avg = 19964
219 Time diff: 20010, Avg = 19964
220 Time diff: 19980, Avg = 19964
221 Time diff: 20017, Avg = 19965
222 Time diff: 25225, Avg = 19988<------ Not in time!
223 Time diff: 14775, Avg = 19965<------ Not in time!
224 Time diff: 19982, Avg = 19965
225 Time diff: 20017, Avg = 19965
226 Time diff: 19981, Avg = 19965
227 Time diff: 20195, Avg = 19966
228 Time diff: 19816, Avg = 19966
229 Time diff: 20008, Avg = 19966
230 Time diff: 19981, Avg = 19966
231 Time diff: 20017, Avg = 19966
232 Time diff: 19981, Avg = 19966
233 Time diff: 20018, Avg = 19967
234 Time diff: 19981, Avg = 19967
235 Time diff: 20018, Avg = 19967
236 Time diff: 19981, Avg = 19967
237 Time diff: 25244, Avg = 19989<------ Not in time!
238 Time diff: 14759, Avg = 19967<------ Not in time!
239 Time diff: 20013, Avg = 19967
240 Time diff: 19982, Avg = 19967
241 Time diff: 20018, Avg = 19968
242 Time diff: 19981, Avg = 19968
243 Time diff: 20018, Avg = 19968
244 Time diff: 20004, Avg = 19968
245 Time diff: 19995, Avg = 19968
246 Time diff: 19981, Avg = 19968
247 Time diff: 20017, Avg = 19968
248 Time diff: 19982, Avg = 19968
249 Time diff: 20018, Avg = 19969
250 Time diff: 19985, Avg = 19969
251 Time diff: 20013, Avg = 19969
252 Time diff: 25227, Avg = 19990<------ Not in time!
253 Time diff: 14775, Avg = 19969<------ Not in time!
254 Time diff: 19979, Avg = 19969
255 Time diff: 20017, Avg = 19969
256 Time diff: 19982, Avg = 19969
257 Time diff: 20017, Avg = 19970
258 Time diff: 19987, Avg = 19970
259 Time diff: 20012, Avg = 19970
260 Time diff: 19981, Avg = 19970
261 Time diff: 20017, Avg = 19970
262 Time diff: 19982, Avg = 19970
263 Time diff: 20020, Avg = 19970
264 Time diff: 19979, Avg = 19970
265 Time diff: 20018, Avg = 19970
266 Time diff: 19981, Avg = 19970
267 Time diff: 25245, Avg = 19990<------ Not in time!
268 Time diff: 14758, Avg = 19971<------ Not in time!
269 Time diff: 20014, Avg = 19971
270 Time diff: 19981, Avg = 19971
271 Time diff: 20018, Avg = 19971
272 Time diff: 19981, Avg = 19971
273 Time diff: 20018, Avg = 19971
274 Time diff: 19982, Avg = 19971
275 Time diff: 20017, Avg = 19971
276 Time diff: 19982, Avg = 19971
277 Time diff: 20018, Avg = 19972
278 Time diff: 19982, Avg = 19972
279 Time diff: 20016, Avg = 19972
280 Time diff: 19982, Avg = 19972
281 Time diff: 20017, Avg = 19972
282 Time diff: 25230, Avg = 19991<------ Not in time!
283 Time diff: 14770, Avg = 19972<------ Not in time!
284 Time diff: 19981, Avg = 19972
285 Time diff: 20016, Avg = 19972
286 Time diff: 19982, Avg = 19972
287 Time diff: 20017, Avg = 19973
288 Time diff: 19982, Avg = 19973
289 Time diff: 20017, Avg = 19973
290 Time diff: 19986, Avg = 19973
291 Time diff: 20016, Avg = 19973
292 Time diff: 19981, Avg = 19973
293 Time diff: 20016, Avg = 19973
294 Time diff: 19983, Avg = 19973
295 Time diff: 20015, Avg = 19973
296 Time diff: 19982, Avg = 19973
297 Time diff: 25247, Avg = 19991<------ Not in time!
298 Time diff: 14753, Avg = 19974<------ Not in time!
299 Time diff: 20017, Avg = 19974
300 Time diff: 19989, Avg = 19974
301 Time diff: 20010, Avg = 19974
302 Time diff: 19982, Avg = 19974
303 Time diff: 20020, Avg = 19974
304 Time diff: 19982, Avg = 19974
305 Time diff: 20014, Avg = 19974
306 Time diff: 19982, Avg = 19974
307 Time diff: 20021, Avg = 19974
308 Time diff: 19979, Avg = 19974
309 Time diff: 20017, Avg = 19974
310 Time diff: 19982, Avg = 19975
311 Time diff: 20017, Avg = 19975
312 Time diff: 25230, Avg = 19991<------ Not in time!
313 Time diff: 14770, Avg = 19975<------ Not in time!
314 Time diff: 19982, Avg = 19975
315 Time diff: 20017, Avg = 19975
316 Time diff: 19984, Avg = 19975
317 Time diff: 20015, Avg = 19975
318 Time diff: 19985, Avg = 19975
319 Time diff: 20013, Avg = 19975
320 Time diff: 19982, Avg = 19975
321 Time diff: 20018, Avg = 19975
322 Time diff: 19982, Avg = 19975
323 Time diff: 20019, Avg = 19976
324 Time diff: 19979, Avg = 19976
325 Time diff: 20017, Avg = 19976
326 Time diff: 19982, Avg = 19976
327 Time diff: 25251, Avg = 19992<------ Not in time!
328 Time diff: 14748, Avg = 19976<------ Not in time!
329 Time diff: 20018, Avg = 19976
330 Time diff: 19981, Avg = 19976
331 Time diff: 20017, Avg = 19976
332 Time diff: 19986, Avg = 19976
333 Time diff: 20013, Avg = 19976
334 Time diff: 19982, Avg = 19976
335 Time diff: 20017, Avg = 19976
336 Time diff: 19982, Avg = 19976
337 Time diff: 20017, Avg = 19977
338 Time diff: 19982, Avg = 19977
339 Time diff: 20125, Avg = 19977
340 Time diff: 19879, Avg = 19977
341 Time diff: 20015, Avg = 19977
342 Time diff: 25232, Avg = 19992<------ Not in time!
343 Time diff: 14766, Avg = 19977<------ Not in time!
344 Time diff: 19984, Avg = 19977
345 Time diff: 20014, Avg = 19977
346 Time diff: 19990, Avg = 19977
347 Time diff: 20009, Avg = 19977
348 Time diff: 19982, Avg = 19977
349 Time diff: 20017, Avg = 19977
350 Time diff: 19994, Avg = 19977
351 Time diff: 20006, Avg = 19977
352 Time diff: 19982, Avg = 19977
353 Time diff: 20017, Avg = 19978
354 Time diff: 19983, Avg = 19978
355 Time diff: 20016, Avg = 19978
356 Time diff: 19980, Avg = 19978
357 Time diff: 25259, Avg = 19992<------ Not in time!
358 Time diff: 14741, Avg = 19978<------ Not in time!
359 Time diff: 20016, Avg = 19978
360 Time diff: 19988, Avg = 19978
361 Time diff: 20010, Avg = 19978
362 Time diff: 19983, Avg = 19978
363 Time diff: 20017, Avg = 19978
364 Time diff: 19981, Avg = 19978
365 Time diff: 20017, Avg = 19978
366 Time diff: 19982, Avg = 19978
367 Time diff: 20018, Avg = 19978
368 Time diff: 19983, Avg = 19978
369 Time diff: 20015, Avg = 19978
370 Time diff: 19982, Avg = 19978
371 Time diff: 20017, Avg = 19979
372 Time diff: 25238, Avg = 19993<------ Not in time!
373 Time diff: 14762, Avg = 19979<------ Not in time!
374 Time diff: 19990, Avg = 19979
375 Time diff: 20115, Avg = 19979
376 Time diff: 19958, Avg = 19979
377 Time diff: 19943, Avg = 19979
378 Time diff: 19988, Avg = 19979
379 Time diff: 20005, Avg = 19979
380 Time diff: 19983, Avg = 19979
381 Time diff: 20015, Avg = 19979
382 Time diff: 19982, Avg = 19979
383 Time diff: 20018, Avg = 19979
384 Time diff: 19982, Avg = 19979
385 Time diff: 20016, Avg = 19979
386 Time diff: 19980, Avg = 19979
387 Time diff: 25259, Avg = 19993<------ Not in time!
388 Time diff: 14753, Avg = 19979<------ Not in time!
389 Time diff: 20007, Avg = 19980
390 Time diff: 19979, Avg = 19980
391 Time diff: 20018, Avg = 19980
392 Time diff: 19986, Avg = 19980
393 Time diff: 20014, Avg = 19980
394 Time diff: 19980, Avg = 19980
395 Time diff: 20017, Avg = 19980
396 Time diff: 19983, Avg = 19980
397 Time diff: 20016, Avg = 19980
398 Time diff: 20012, Avg = 19980
399 Time diff: 19988, Avg = 19980
400 Time diff: 20150, Avg = 19980
401 Time diff: 20155, Avg = 19981
402 Time diff: 24961, Avg = 19993<------ Not in time!
403 Time diff: 14739, Avg = 19980<------ Not in time!
404 Time diff: 19977, Avg = 19980
405 Time diff: 20016, Avg = 19980
406 Time diff: 19980, Avg = 19980
407 Time diff: 20017, Avg = 19980
408 Time diff: 19982, Avg = 19980
409 Time diff: 20018, Avg = 19980
410 Time diff: 19983, Avg = 19980
411 Time diff: 20016, Avg = 19981
412 Time diff: 19982, Avg = 19981
413 Time diff: 20017, Avg = 19981
414 Time diff: 19983, Avg = 19981
415 Time diff: 20051, Avg = 19981
416 Time diff: 19964, Avg = 19981
417 Time diff: 25253, Avg = 19993<------ Not in time!
418 Time diff: 14730, Avg = 19981<------ Not in time!
419 Time diff: 20017, Avg = 19981
420 Time diff: 19982, Avg = 19981
421 Time diff: 20016, Avg = 19981
422 Time diff: 19983, Avg = 19981
423 Time diff: 20018, Avg = 19981
424 Time diff: 19990, Avg = 19981
425 Time diff: 20008, Avg = 19981
426 Time diff: 19982, Avg = 19981
427 Time diff: 20017, Avg = 19981
428 Time diff: 19987, Avg = 19981
429 Time diff: 20011, Avg = 19981
430 Time diff: 19993, Avg = 19981
431 Time diff: 20006, Avg = 19981
432 Time diff: 25240, Avg = 19994<------ Not in time!
433 Time diff: 14760, Avg = 19982<------ Not in time!
434 Time diff: 19985, Avg = 19982
435 Time diff: 20013, Avg = 19982
436 Time diff: 19984, Avg = 19982
437 Time diff: 20015, Avg = 19982
438 Time diff: 19985, Avg = 19982
439 Time diff: 20014, Avg = 19982
440 Time diff: 19985, Avg = 19982
441 Time diff: 20015, Avg = 19982
442 Time diff: 19984, Avg = 19982
443 Time diff: 20014, Avg = 19982
444 Time diff: 19998, Avg = 19982
445 Time diff: 20002, Avg = 19982
446 Time diff: 19987, Avg = 19982
447 Time diff: 25254, Avg = 19994<------ Not in time!
448 Time diff: 14744, Avg = 19982<------ Not in time!
449 Time diff: 20013, Avg = 19982
450 Time diff: 20175, Avg = 19983
451 Time diff: 19838, Avg = 19982
452 Time diff: 19975, Avg = 19982
453 Time diff: 20010, Avg = 19982
454 Time diff: 19989, Avg = 19982
455 Time diff: 20009, Avg = 19982
456 Time diff: 19986, Avg = 19982
457 Time diff: 20012, Avg = 19982
458 Time diff: 19997, Avg = 19982
459 Time diff: 20009, Avg = 19983
460 Time diff: 19981, Avg = 19983
461 Time diff: 20011, Avg = 19983
462 Time diff: 25244, Avg = 19994<------ Not in time!
463 Time diff: 14757, Avg = 19983<------ Not in time!
464 Time diff: 19987, Avg = 19983
465 Time diff: 20012, Avg = 19983
466 Time diff: 19987, Avg = 19983
467 Time diff: 20012, Avg = 19983
468 Time diff: 19991, Avg = 19983
469 Time diff: 20009, Avg = 19983
470 Time diff: 19987, Avg = 19983
471 Time diff: 20011, Avg = 19983
472 Time diff: 20000, Avg = 19983
473 Time diff: 20000, Avg = 19983
474 Time diff: 19987, Avg = 19983
475 Time diff: 20011, Avg = 19983
476 Time diff: 19988, Avg = 19983
477 Time diff: 25257, Avg = 19994<------ Not in time!
478 Time diff: 14744, Avg = 19983<------ Not in time!
479 Time diff: 20010, Avg = 19983
480 Time diff: 19989, Avg = 19983
481 Time diff: 20010, Avg = 19983
482 Time diff: 19988, Avg = 19983
483 Time diff: 20011, Avg = 19983
484 Time diff: 19989, Avg = 19983
485 Time diff: 20010, Avg = 19983
486 Time diff: 19999, Avg = 19983
487 Time diff: 20002, Avg = 19983
488 Time diff: 19987, Avg = 19983
489 Time diff: 20010, Avg = 19984
490 Time diff: 19989, Avg = 19984
491 Time diff: 20010, Avg = 19984
492 Time diff: 25246, Avg = 19994<------ Not in time!
493 Time diff: 14754, Avg = 19984<------ Not in time!
494 Time diff: 19989, Avg = 19984
495 Time diff: 20009, Avg = 19984
496 Time diff: 19990, Avg = 19984
497 Time diff: 20009, Avg = 19984
498 Time diff: 19991, Avg = 19984
499 Time diff: 20008, Avg = 19984
500 Time diff: 20022, Avg = 19984
501 Time diff: 20010, Avg = 19984
502 Time diff: 19958, Avg = 19984
503 Time diff: 20008, Avg = 19984
504 Time diff: 19992, Avg = 19984
505 Time diff: 20019, Avg = 19984
506 Time diff: 19988, Avg = 19984
507 Time diff: 25254, Avg = 19994<------ Not in time!
508 Time diff: 14744, Avg = 19984<------ Not in time!
509 Time diff: 19999, Avg = 19984
510 Time diff: 19995, Avg = 19984
511 Time diff: 20004, Avg = 19984
512 Time diff: 19991, Avg = 19984
513 Time diff: 20008, Avg = 19984
514 Time diff: 20000, Avg = 19984
515 Time diff: 20002, Avg = 19984
516 Time diff: 19988, Avg = 19984
517 Time diff: 20007, Avg = 19984
518 Time diff: 19991, Avg = 19984
519 Time diff: 20008, Avg = 19984
520 Time diff: 19991, Avg = 19984
521 Time diff: 20008, Avg = 19984
